Locations {
 l0 88.80434139346023 42.70705061263213;
 l1 203.687849249877 243.35291961224303;
 l2 65.0 345.0;
 l3 59.77113612041099 649.0962622239589;
 l4 304.3986898844686 138.8190883545392;
 l5 386.0 246.0;
 l6 398.627598884326 482.19997044577093;
 l7 379.60059312775917 551.0297797896095;
 l8 535.6265265006859 73.17085648534083;
 l9 473.48386914061933 238.4419217101911;
 l10 511.43099265976025 364.8547327457596;
 l11 573.849624694313 579.1638137394175;
 l12 830.1135576692054 69.52225974612446;
 l13 822.8665998147718 222.69147562962124;
 l14 921.7549973263754 500.3751795447658;
 l15 925.2218119010968 543.8479929406212;
 l16 144.41631101118853 156.7598113838466;
 l17 20.160589274826723 220.19394446421163;
 l18 37.0 478.0;
 l19 172.91843436067154 691.4855414795298;
 l20 440.46184440792825 61.67656696255828;
 l21 270.88414036712015 321.45561592486797;
 l22 132.0 390.0;
 l23 256.1495390156206 602.152948009715;
 l24 563.4648175753272 6.858649420932034;
 l25 666.2640770172513 218.32387366785935;
 l26 571.1975884693385 506.6818841461286;
 l27 601.948245138296 654.2110468281265;
 l28 853.97845353838 137.59659598912515;
 l29 737.8379425746988 314.72279292574285;
 l30 873.0843138565925 397.9396448539791;
 l31 729.4724788738198 555.0760250137303;
 l32 32.81710979078533 8.473641926808511;
 l33 112.45484537299052 215.40763311746255;
 l34 229.85827595866058 421.9996783532134;
 l35 135.0 516.0;
 l36 461.9113775361532 147.50768283476913;
 l37 295.3821094779706 318.88574949275994;
 l38 327.0 408.0;
 l39 242.0533369463694 531.3930405577581;
}
Links {
l0 l16 10.0;
l0 l32 10.0;
l0 l4 10.0;
l1 l16 10.0;
l1 l17 10.0;
l1 l2 10.0;
l1 l21 10.0;
l1 l22 10.0;
l1 l33 10.0;
l1 l34 10.0;
l1 l37 10.0;
l1 l38 10.0;
l1 l4 10.0;
l1 l5 10.0;
l10 l11 10.0;
l10 l21 10.0;
l10 l25 10.0;
l10 l26 10.0;
l10 l29 10.0;
l10 l31 10.0;
l10 l36 10.0;
l10 l37 10.0;
l10 l38 10.0;
l10 l5 10.0;
l10 l6 10.0;
l10 l7 10.0;
l10 l9 10.0;
l11 l26 10.0;
l11 l27 10.0;
l11 l31 10.0;
l12 l13 10.0;
l12 l25 10.0;
l12 l28 10.0;
l13 l25 10.0;
l13 l28 10.0;
l13 l29 10.0;
l13 l30 10.0;
l14 l15 10.0;
l14 l30 10.0;
l14 l31 10.0;
l15 l30 10.0;
l15 l31 10.0;
l16 l17 10.0;
l16 l33 10.0;
l16 l4 10.0;
l17 l33 10.0;
l18 l19 10.0;
l18 l2 10.0;
l18 l22 10.0;
l18 l23 10.0;
l18 l3 10.0;
l18 l34 10.0;
l18 l35 10.0;
l18 l38 10.0;
l18 l39 10.0;
l19 l23 10.0;
l19 l3 10.0;
l19 l35 10.0;
l19 l39 10.0;
l2 l21 10.0;
l2 l22 10.0;
l2 l34 10.0;
l2 l38 10.0;
l2 l4 10.0;
l20 l24 10.0;
l20 l36 10.0;
l20 l4 10.0;
l20 l8 10.0;
l20 l9 10.0;
l21 l37 10.0;
l21 l4 10.0;
l21 l5 10.0;
l22 l34 10.0;
l22 l38 10.0;
l22 l39 10.0;
l23 l39 10.0;
l23 l7 10.0;
l24 l25 10.0;
l24 l36 10.0;
l24 l8 10.0;
l25 l28 10.0;
l25 l29 10.0;
l25 l36 10.0;
l25 l8 10.0;
l25 l9 10.0;
l26 l27 10.0;
l26 l31 10.0;
l27 l31 10.0;
l28 l29 10.0;
l29 l30 10.0;
l29 l31 10.0;
l3 l35 10.0;
l30 l31 10.0;
l33 l4 10.0;
l34 l38 10.0;
l34 l39 10.0;
l36 l4 10.0;
l36 l8 10.0;
l36 l9 10.0;
l37 l4 10.0;
l37 l5 10.0;
l38 l39 10.0;
l38 l4 10.0;
l39 l7 10.0;
l4 l5 10.0;
l4 l8 10.0;
l4 l9 10.0;
l6 l7 10.0;
l8 l9 10.0;
}

Robots{
 r0 l32;
}
Boxes{
 b0 l6;
 b1 l31;
 b2 l28;
}
Goal{
  b0 l24;
  b1 l32;
  b2 l28;
}

